C_Name,T_Name,TOWN_ID,nfullname,web
桃園市,中壢區,6800200,桃園市中壢區,0.975
臺北市,中山區,6300400,臺北市中山區,0.991
新北市,板橋區,6500100,新北市板橋區,0.997
新北市,三重區,6500200,新北市三重區,0.961
臺北市,大安區,6300300,臺北市大安區,1
臺北市,內湖區,6301000,臺北市內湖區,0.98
新北市,汐止區,6501100,新北市汐止區,0.942
桃園市,桃園區,6800100,桃園市桃園區,0.959
高雄市,三民區,6400500,高雄市三民區,0.934
臺北市,信義區,6300200,臺北市信義區,0.983
臺北市,中正區,6300500,臺北市中正區,0.994
臺中市,西屯區,6600600,臺中市西屯區,0.92
新北市,中和區,6500300,新北市中和區,0.95
臺北市,士林區,6301100,臺北市士林區,0.989
新北市,新莊區,6500500,新北市新莊區,0.972
臺中市,北屯區,6600800,臺中市北屯區,0.866
臺北市,松山區,6300100,臺北市松山區,0.986
新竹市,東區,1001801,新竹市東區,0.953
新竹縣,竹北市,1000401,新竹縣竹北市,0.915
桃園市,蘆竹區,6800500,桃園市蘆竹區,0.852
高雄市,鳳山區,6401200,高雄市鳳山區,0.923
桃園市,平鎮區,6801000,桃園市平鎮區,0.882
新北市,新店區,6500600,新北市新店區,0.945
臺北市,萬華區,6300700,臺北市萬華區,0.967
桃園市,龜山區,6800700,桃園市龜山區,0.828
桃園市,楊梅區,6800400,桃園市楊梅區,0.874
臺北市,文山區,6300800,臺北市文山區,0.97
臺南市,永康區,6703100,臺南市永康區,0.858
臺北市,北投區,6301200,臺北市北投區,0.978
臺北市,南港區,6300900,臺北市南港區,0.956
新北市,土城區,6501300,新北市土城區,0.931
新北市,樹林區,6500700,新北市樹林區,0.937
高雄市,左營區,6400300,高雄市左營區,0.885
臺東縣,臺東市,1001401,臺東縣臺東市,0.918
臺北市,大同區,6300600,臺北市大同區,0.964
彰化縣,彰化市,1000701,彰化縣彰化市,0.948
臺中市,南屯區,6600700,臺中市南屯區,0.841
新北市,淡水區,6501000,新北市淡水區,0.94
屏東縣,屏東市,1001301,屏東縣屏東市,0.907
高雄市,楠梓區,6400400,高雄市楠梓區,0.877
高雄市,小港區,6401100,高雄市小港區,0.869
臺中市,北區,6600500,臺中市北區,0.871
臺中市,豐原區,6600900,臺中市豐原區,0.904
高雄市,苓雅區,6400800,高雄市苓雅區,0.888
高雄市,前鎮區,6400900,高雄市前鎮區,0.893
臺南市,東區,6703200,臺南市東區,0.847
臺南市,安南區,6703500,臺南市安南區,0.817
花蓮縣,花蓮市,1001501,花蓮縣花蓮市,0.926
新北市,蘆洲區,6501400,新北市蘆洲區,0.91
新北市,永和區,6500400,新北市永和區,0.912
高雄市,大寮區,6401400,高雄市大寮區,0.768
新北市,五股區,6501500,新北市五股區,0.836
臺中市,太平區,6602700,臺中市太平區,0.798
臺中市,大里區,6602800,臺中市大里區,0.809
桃園市,八德區,6800800,桃園市八德區,0.787
高雄市,仁武區,6401700,高雄市仁武區,0.694
桃園市,大園區,6800600,桃園市大園區,0.863
臺中市,西區,6600400,臺中市西區,0.844
新竹縣,湖口鄉,1000405,新竹縣湖口鄉,0.773
臺中市,烏日區,6602300,臺中市烏日區,0.899
高雄市,鼓山區,6400200,高雄市鼓山區,0.839
桃園市,龍潭區,6800900,桃園市龍潭區,0.831
新竹市,北區,1001802,新竹市北區,0.901
嘉義市,西區,1002002,嘉義市西區,0.891
新北市,林口區,6501700,新北市林口區,0.801
臺南市,中西區,6703700,臺南市中西區,0.85
